year,sample,n,matched_n,income_min,income_max,education_min,education_max,neighbours,fill,winning_share_min,winning_share_max,surface_winners
2002,full,58619,58619,8802.5,45462.6666666667,1.0869565217391304,70.41847041847042,100,candidate,15.725503921508789,36.67384338378906,"Chirac, Jospin, Le Pen"
2002,central90,48849,58619,15869.0,25709.5,11.221945137157109,45.987435258518246,100,candidate,15.541376113891602,27.1315975189209,"Chirac, Jospin, Le Pen"
2002,central90_k25_winning_share,48849,58619,15869.0,25709.5,11.221945137157109,45.987435258518246,25,winning vote share,13.547463417053223,32.19611740112305,"Chevenement, Chirac, Jospin, Le Pen"
2022,full,62559,62559,12260.0,55340.0,3.1360601898789935,76.65325130623422,100,candidate,23.5972900390625,56.04417419433594,"Le Pen, Macron, Mélenchon"
2022,central90,52560,62559,18300.0,29430.0,15.032679738562026,51.27222590750207,100,candidate,23.38192367553711,51.4873046875,"Le Pen, Macron, Mélenchon"
2022,central90_k25_winning_share,52560,62559,18300.0,29430.0,15.032679738562026,51.27222590750207,25,winning vote share,21.861379623413086,60.858524322509766,"Le Pen, Macron, Mélenchon"
